step,epoch,loss,learning_rate
50,0.016,1.392203826904297,5.212765957446809e-06
100,0.032,1.3247752380371094,1.0531914893617022e-05
150,0.048,1.3887644958496095,1.5851063829787235e-05
200,0.064,1.327537078857422,1.99250936329588e-05
250,0.08,1.3700405883789062,1.95846101464079e-05
300,0.096,1.3595558166503907,1.9244126659856998e-05
350,0.112,1.3678273010253905,1.8903643173306096e-05
400,0.128,1.3818055725097655,1.8563159686755194e-05
450,0.144,1.3694100952148438,1.8222676200204293e-05
500,0.16,1.3217367553710937,1.788219271365339e-05
550,0.176,1.3879225158691406,1.754170922710249e-05
600,0.192,1.3286720275878907,1.7201225740551584e-05
650,0.208,1.3340835571289062,1.6860742254000682e-05
700,0.224,1.3665318298339844,1.652025876744978e-05
750,0.24,1.3626438903808593,1.617977528089888e-05
800,0.256,1.3108966064453125,1.5839291794347974e-05
850,0.272,1.3042593383789063,1.5498808307797072e-05
900,0.288,1.288762969970703,1.515832482124617e-05
950,0.304,1.347357940673828,1.4817841334695268e-05
1000,0.32,1.3224281311035155,1.4477357848144367e-05
1050,0.336,1.3181758117675781,1.4136874361593465e-05
1100,0.352,1.333082275390625,1.3796390875042563e-05
1150,0.368,1.3864842224121094,1.345590738849166e-05
1200,0.384,1.3290318298339843,1.3115423901940756e-05
1250,0.4,1.3316265869140624,1.2774940415389855e-05
1300,0.416,1.3482785034179687,1.2434456928838951e-05
1350,0.432,1.2980458068847656,1.209397344228805e-05
1400,0.448,1.3182542419433594,1.1753489955737148e-05
1450,0.464,1.3544163513183594,1.1413006469186246e-05
1500,0.48,1.332910614013672,1.1072522982635342e-05
1550,0.496,1.3393931579589844,1.073203949608444e-05
1600,0.512,1.3234657287597655,1.0391556009533539e-05
1650,0.528,1.33898193359375,1.0051072522982637e-05
1700,0.544,1.301165313720703,9.710589036431734e-06
1750,0.56,1.3698921203613281,9.370105549880832e-06
1800,0.576,1.3432867431640625,9.029622063329929e-06
1850,0.592,1.398841552734375,8.689138576779027e-06
1900,0.608,1.360272216796875,8.348655090228125e-06
1950,0.624,1.2792295837402343,8.008171603677223e-06
2000,0.64,1.3255180358886718,7.66768811712632e-06
2050,0.656,1.333502960205078,7.327204630575417e-06
2100,0.672,1.3809422302246093,6.986721144024516e-06
2150,0.688,1.3174215698242187,6.646237657473613e-06
2200,0.704,1.2856439208984376,6.305754170922711e-06
2250,0.72,1.3086810302734375,5.965270684371809e-06
2300,0.736,1.3427293395996094,5.624787197820905e-06
2350,0.752,1.3227316284179687,5.284303711270004e-06
2400,0.768,1.3573475646972657,4.943820224719101e-06
2450,0.784,1.3206462097167968,4.603336738168199e-06
2500,0.8,1.3318841552734375,4.2628532516172975e-06
2550,0.816,1.3122743225097657,3.922369765066394e-06
2600,0.832,1.3248329162597656,3.5818862785154923e-06
2650,0.848,1.3429315185546875,3.24140279196459e-06
2700,0.864,1.3244441223144532,2.9009193054136876e-06
2750,0.88,1.3107489013671876,2.5604358188627854e-06
2800,0.896,1.2619003295898437,2.219952332311883e-06
2850,0.912,1.3159999084472656,1.8794688457609809e-06
2900,0.928,1.3564170837402343,1.5389853592100785e-06
2950,0.944,1.3187615966796875,1.1985018726591761e-06
3000,0.96,1.3170237731933594,8.580183861082739e-07
3050,0.976,1.2993670654296876,5.175348995573715e-07
3100,0.992,1.259823760986328,1.770514130064692e-07
