step,epoch,loss,learning_rate
50,0.016,1.409217529296875,2.0851063829787237e-08
100,0.032,1.3888479614257812,4.212765957446808e-08
150,0.048,1.4663397216796874,6.340425531914893e-08
200,0.064,1.408877410888672,7.97003745318352e-08
250,0.08,1.4520359802246094,7.83384405856316e-08
300,0.096,1.43748779296875,7.697650663942799e-08
350,0.112,1.4461381530761719,7.561457269322438e-08
400,0.128,1.4614974975585937,7.425263874702077e-08
450,0.144,1.4506480407714843,7.289070480081716e-08
500,0.16,1.3968771362304688,7.152877085461355e-08
550,0.176,1.4650851440429689,7.016683690840994e-08
600,0.192,1.4042250061035155,6.880490296220633e-08
650,0.208,1.4083589172363282,6.744296901600273e-08
700,0.224,1.4433488464355468,6.608103506979912e-08
750,0.24,1.4342906188964843,6.471910112359551e-08
800,0.256,1.3900111389160157,6.33571671773919e-08
850,0.272,1.3790945434570312,6.199523323118829e-08
900,0.288,1.3619917297363282,6.063329928498468e-08
950,0.304,1.417403106689453,5.9271365338781073e-08
1000,0.32,1.3962632751464843,5.7909431392577465e-08
1050,0.336,1.390122833251953,5.6547497446373856e-08
1100,0.352,1.404935302734375,5.518556350017025e-08
1150,0.368,1.461572265625,5.382362955396664e-08
1200,0.384,1.3960762023925781,5.246169560776302e-08
1250,0.4,1.4106773376464843,5.1099761661559414e-08
1300,0.416,1.4188328552246094,4.9737827715355805e-08
1350,0.432,1.3737120056152343,4.83758937691522e-08
1400,0.448,1.3912118530273438,4.701395982294859e-08
1450,0.464,1.4263215637207032,4.565202587674498e-08
1500,0.48,1.4039120483398437,4.429009193054137e-08
1550,0.496,1.418873291015625,4.292815798433776e-08
1600,0.512,1.399100341796875,4.156622403813415e-08
1650,0.528,1.4094865417480469,4.0204290091930544e-08
1700,0.544,1.376427001953125,3.884235614572693e-08
1750,0.56,1.4473226928710938,3.748042219952332e-08
1800,0.576,1.411060791015625,3.611848825331972e-08
1850,0.592,1.4695538330078124,3.475655430711611e-08
1900,0.608,1.4365692138671875,3.33946203609125e-08
1950,0.624,1.3536163330078126,3.203268641470889e-08
2000,0.64,1.4049630737304688,3.0670752468505276e-08
2050,0.656,1.4088937377929687,2.9308818522301667e-08
2100,0.672,1.450737762451172,2.794688457609806e-08
2150,0.688,1.3876271057128906,2.658495062989445e-08
2200,0.704,1.3574974060058593,2.522301668369084e-08
2250,0.72,1.3856387329101563,2.3861082737487236e-08
2300,0.736,1.41969970703125,2.249914879128362e-08
2350,0.752,1.4011312866210937,2.113721484508001e-08
2400,0.768,1.4338629150390625,1.9775280898876403e-08
2450,0.784,1.3919284057617187,1.8413346952672797e-08
2500,0.8,1.41001708984375,1.705141300646919e-08
2550,0.816,1.383223876953125,1.5689479060265577e-08
2600,0.832,1.3970053100585937,1.4327545114061968e-08
2650,0.848,1.4183560180664063,1.296561116785836e-08
2700,0.864,1.4090864562988281,1.1603677221654749e-08
2750,0.88,1.3868473815917968,1.0241743275451141e-08
2800,0.896,1.3408438110351562,8.879809329247531e-09
2850,0.912,1.3891777038574218,7.517875383043922e-09
2900,0.928,1.433581085205078,6.1559414368403135e-09
2950,0.944,1.39305419921875,4.794007490636704e-09
3000,0.96,1.3945414733886718,3.432073544433095e-09
3050,0.976,1.3777192687988282,2.070139598229486e-09
3100,0.992,1.3408995056152344,7.082056520258767e-10
