step,epoch,loss,learning_rate
50,0.016,1.4092950439453125,6.962699822380106e-09
100,0.032,1.3893022155761718,1.4067495559502665e-08
150,0.048,1.4674740600585938,2.117229129662522e-08
200,0.064,1.4110499572753907,2.8277087033747778e-08
250,0.08,1.4554190063476562,3.538188277087034e-08
300,0.096,1.4418449401855469,4.24866785079929e-08
350,0.112,1.451046142578125,4.9591474245115456e-08
400,0.128,1.4670542907714843,5.669626998223802e-08
450,0.144,1.456354217529297,6.380106571936057e-08
500,0.16,1.4026206970214843,7.090586145648313e-08
550,0.176,1.470718231201172,7.80106571936057e-08
600,0.192,1.4094769287109374,7.967317294598276e-08
650,0.208,1.4132624816894532,7.92192464820699e-08
700,0.224,1.4479254150390626,7.876532001815706e-08
750,0.24,1.438340301513672,7.83113935542442e-08
800,0.256,1.3938192749023437,7.785746709033137e-08
850,0.272,1.3825413513183593,7.740354062641851e-08
900,0.288,1.3651646423339843,7.694961416250568e-08
950,0.304,1.4201528930664062,7.649568769859282e-08
1000,0.32,1.3987472534179688,7.604176123467999e-08
1050,0.336,1.3922746276855469,7.558783477076713e-08
1100,0.352,1.4067007446289062,7.51339083068543e-08
1150,0.368,1.4630216979980468,7.467998184294145e-08
1200,0.384,1.397196044921875,7.42260553790286e-08
1250,0.4,1.4114454650878907,7.377212891511576e-08
1300,0.416,1.4192536926269532,7.331820245120291e-08
1350,0.432,1.3738340759277343,7.286427598729006e-08
1400,0.448,1.3910060119628906,7.241034952337722e-08
1450,0.464,1.4257701110839844,7.195642305946437e-08
1500,0.48,1.4029951477050782,7.150249659555153e-08
1550,0.496,1.4176856994628906,7.104857013163868e-08
1600,0.512,1.3975608825683594,7.059464366772583e-08
1650,0.528,1.4076907348632812,7.014071720381299e-08
1700,0.544,1.3742887878417969,6.968679073990014e-08
1750,0.56,1.4449119567871094,6.92328642759873e-08
1800,0.576,1.4083317565917968,6.877893781207445e-08
1850,0.592,1.4665089416503907,6.83250113481616e-08
1900,0.608,1.4331861877441405,6.787108488424876e-08
1950,0.624,1.349777069091797,6.741715842033591e-08
2000,0.64,1.4008514404296875,6.696323195642306e-08
2050,0.656,1.4045623779296874,6.650930549251022e-08
2100,0.672,1.446100616455078,6.605537902859737e-08
2150,0.688,1.3824851989746094,6.560145256468452e-08
2200,0.704,1.3519900512695313,6.514752610077168e-08
2250,0.72,1.3798222351074219,6.469359963685883e-08
2300,0.736,1.4136976623535156,6.423967317294599e-08
2350,0.752,1.3946755981445313,6.378574670903314e-08
