step,epoch,loss,learning_rate
50,0.016,2.6311492919921875,6.962699822380106e-09
100,0.032,2.6137799072265624,1.4067495559502665e-08
150,0.048,2.683854064941406,2.117229129662522e-08
200,0.064,2.633636779785156,2.8277087033747778e-08
250,0.08,2.6733599853515626,3.538188277087034e-08
300,0.096,2.6628228759765626,4.24866785079929e-08
350,0.112,2.672530212402344,4.9591474245115456e-08
400,0.128,2.687030944824219,5.669626998223802e-08
450,0.144,2.678680725097656,6.380106571936057e-08
500,0.16,2.631106262207031,7.090586145648313e-08
550,0.176,2.693147888183594,7.80106571936057e-08
600,0.192,2.6403683471679686,7.967317294598276e-08
650,0.208,2.6447982788085938,7.92192464820699e-08
700,0.224,2.676614990234375,7.876532001815706e-08
750,0.24,2.6695370483398437,7.83113935542442e-08
800,0.256,2.630895690917969,7.785746709033137e-08
850,0.272,2.6224322509765625,7.740354062641851e-08
900,0.288,2.6083551025390626,7.694961416250568e-08
950,0.304,2.6580514526367187,7.649568769859282e-08
1000,0.32,2.6392779541015625,7.604176123467999e-08
1050,0.336,2.6343179321289063,7.558783477076713e-08
1100,0.352,2.6488961791992187,7.51339083068543e-08
1150,0.368,2.6996124267578123,7.467998184294145e-08
1200,0.384,2.6425741577148436,7.42260553790286e-08
1250,0.4,2.6556820678710937,7.377212891511576e-08
1300,0.416,2.663268737792969,7.331820245120291e-08
1350,0.432,2.62368408203125,7.286427598729006e-08
1400,0.448,2.6405596923828125,7.241034952337722e-08
1450,0.464,2.670585021972656,7.195642305946437e-08
1500,0.48,2.651943359375,7.150249659555153e-08
1550,0.496,2.6643963623046876,7.104857013163868e-08
1600,0.512,2.6481527709960937,7.059464366772583e-08
1650,0.528,2.6574966430664064,7.014071720381299e-08
1700,0.544,2.6288418579101562,6.968679073990014e-08
1750,0.56,2.6918936157226563,6.92328642759873e-08
1800,0.576,2.659845886230469,6.877893781207445e-08
1850,0.592,2.7120574951171874,6.83250113481616e-08
1900,0.608,2.6832415771484377,6.787108488424876e-08
1950,0.624,2.6103616333007813,6.741715842033591e-08
2000,0.64,2.6558163452148436,6.696323195642306e-08
2050,0.656,2.659224853515625,6.650930549251022e-08
2100,0.672,2.696957702636719,6.605537902859737e-08
2150,0.688,2.6408551025390623,6.560145256468452e-08
2200,0.704,2.613988952636719,6.514752610077168e-08
2250,0.72,2.6404147338867188,6.469359963685883e-08
2300,0.736,2.6700015258789063,6.423967317294599e-08
2350,0.752,2.653376159667969,6.378574670903314e-08
2400,0.768,2.6825491333007814,6.33318202451203e-08
2450,0.784,2.6457864379882814,6.287789378120745e-08
2500,0.8,2.661707458496094,6.24239673172946e-08
2550,0.816,2.638639221191406,6.197004085338175e-08
2600,0.832,2.6508047485351565,6.151611438946891e-08
2650,0.848,2.669164733886719,6.106218792555606e-08
2700,0.864,2.660019836425781,6.060826146164322e-08
2750,0.88,2.642286376953125,6.015433499773037e-08
2800,0.896,2.6009356689453127,5.970040853381752e-08
2850,0.912,2.643350830078125,5.924648206990468e-08
2900,0.928,2.682486267089844,5.879255560599183e-08
2950,0.944,2.6476837158203126,5.8338629142078985e-08
3000,0.96,2.648478698730469,5.788470267816614e-08
3050,0.976,2.6336517333984375,5.743077621425329e-08
3100,0.992,2.6009872436523436,5.6976849750340447e-08
3150,1.008,2.625779724121094,5.65229232864276e-08
3200,1.024,2.624367370605469,5.6068996822514754e-08
3250,1.04,2.661455078125,5.5615070358601915e-08
3300,1.056,2.6730990600585938,5.516114389468906e-08
3350,1.072,2.6715353393554686,5.470721743077622e-08
3400,1.088,2.6576583862304686,5.425329096686337e-08
3450,1.104,2.6441705322265623,5.379936450295053e-08
3500,1.12,2.640264587402344,5.334543803903768e-08
3550,1.1360000000000001,2.623089599609375,5.2891511575124824e-08
3600,1.152,2.6521392822265626,5.2437585111211984e-08
3650,1.168,2.628464660644531,5.198365864729913e-08
3700,1.184,2.656380310058594,5.152973218338629e-08
3750,1.2,2.633238525390625,5.1075805719473446e-08
3800,1.216,2.6216192626953125,5.06218792555606e-08
3850,1.232,2.655452880859375,5.0167952791647753e-08
3900,1.248,2.6705810546875,4.971402632773491e-08
3950,1.264,2.64865966796875,4.926009986382206e-08
4000,1.28,2.6744830322265627,4.8806173399909215e-08
4050,1.296,2.6226971435546873,4.835224693599637e-08
4100,1.312,2.6534375,4.789832047208352e-08
4150,1.328,2.649446716308594,4.7444394008170676e-08
4200,1.3439999999999999,2.6208615112304687,4.6990467544257836e-08
4250,1.3599999999999999,2.621731872558594,4.6536541080344984e-08
4300,1.376,2.6450070190429686,4.6082614616432144e-08
4350,1.392,2.6690936279296875,4.562868815251929e-08
4400,1.408,2.708868103027344,4.517476168860645e-08
4450,1.424,2.6476480102539064,4.47208352246936e-08
4500,1.44,2.6844732666015627,4.426690876078076e-08
4550,1.456,2.6279302978515626,4.3812982296867906e-08
4600,1.472,2.631090087890625,4.335905583295507e-08
4650,1.488,2.662308349609375,4.2905129369042214e-08
4700,1.504,2.6785101318359374,4.2451202905129374e-08
4750,1.52,2.68372802734375,4.199727644121652e-08
4800,1.536,2.6217022705078126,4.154334997730368e-08
4850,1.552,2.6851766967773436,4.108942351339083e-08
4900,1.568,2.63185791015625,4.063549704947799e-08
4950,1.584,2.6692233276367188,4.0181570585565137e-08
5000,1.6,2.6377197265625,3.972764412165229e-08
5050,1.616,2.607071838378906,3.9273717657739444e-08
5100,1.6320000000000001,2.639997863769531,3.88197911938266e-08
5150,1.6480000000000001,2.648626708984375,3.836586472991376e-08
5200,1.6640000000000001,2.624639892578125,3.791193826600091e-08
5250,1.6800000000000002,2.6636288452148436,3.7458011802088066e-08
5300,1.696,2.6260476684570313,3.700408533817522e-08
5350,1.712,2.6474737548828124,3.6550158874262374e-08
5400,1.728,2.6285418701171874,3.609623241034953e-08
5450,1.744,2.6273532104492188,3.564230594643668e-08
5500,1.76,2.658597106933594,3.5188379482523835e-08
5550,1.776,2.6698681640625,3.473445301861099e-08
5600,1.792,2.649028625488281,3.428052655469814e-08
5650,1.808,2.6536520385742186,3.3826600090785296e-08
5700,1.8239999999999998,2.6315744018554685,3.337267362687245e-08
5750,1.8399999999999999,2.6418939208984376,3.29187471629596e-08
5800,1.8559999999999999,2.6832452392578126,3.246482069904675e-08
5850,1.8719999999999999,2.6406515502929686,3.2010894235133905e-08
5900,1.888,2.645404052734375,3.155696777122106e-08
5950,1.904,2.625908203125,3.110304130730821e-08
6000,1.92,2.660732421875,3.0649114843395366e-08
6050,1.936,2.649619140625,3.019518837948252e-08
6100,1.952,2.6593182373046873,2.9741261915569677e-08
6150,1.968,2.6429388427734377,2.928733545165683e-08
6200,1.984,2.6465859985351563,2.8833408987743985e-08
6250,2.0,2.6370974731445314,2.837948252383114e-08
6300,2.016,2.63586669921875,2.7925556059918292e-08
6350,2.032,2.6203213500976563,2.7471629596005446e-08
6400,2.048,2.6533154296875,2.70177031320926e-08
6450,2.064,2.649599914550781,2.6563776668179757e-08
6500,2.08,2.67563232421875,2.610985020426691e-08
6550,2.096,2.632716064453125,2.5655923740354064e-08
6600,2.112,2.6381576538085936,2.5201997276441218e-08
6650,2.128,2.6703668212890626,2.4748070812528372e-08
6700,2.144,2.6476315307617186,2.4294144348615526e-08
6750,2.16,2.674602355957031,2.384021788470268e-08
6800,2.176,2.6554989624023437,2.3386291420789833e-08
6850,2.192,2.650060119628906,2.2932364956876987e-08
6900,2.208,2.6593853759765627,2.247843849296414e-08
6950,2.224,2.650662841796875,2.2024512029051295e-08
7000,2.24,2.6276531982421876,2.157058556513845e-08
7050,2.2560000000000002,2.6534487915039064,2.1116659101225602e-08
7100,2.2720000000000002,2.649700927734375,2.0662732637312756e-08
7150,2.288,2.6506536865234374,2.0208806173399913e-08
7200,2.304,2.655179748535156,1.9754879709487064e-08
7250,2.32,2.647161560058594,1.9300953245574218e-08
7300,2.336,2.672882080078125,1.884702678166137e-08
7350,2.352,2.63291015625,1.8393100317748525e-08
7400,2.368,2.612746276855469,1.793917385383568e-08
7450,2.384,2.6357562255859377,1.7485247389922833e-08
7500,2.4,2.636383361816406,1.7031320926009986e-08
7550,2.416,2.6194717407226564,1.657739446209714e-08
7600,2.432,2.6439239501953127,1.6123467998184294e-08
7650,2.448,2.657689514160156,1.5669541534271448e-08
7700,2.464,2.6509353637695314,1.52156150703586e-08
7750,2.48,2.646273498535156,1.4761688606445755e-08
7800,2.496,2.650843505859375,1.430776214253291e-08
7850,2.512,2.688082580566406,1.3853835678620063e-08
7900,2.528,2.625363464355469,1.3399909214707218e-08
7950,2.544,2.660757751464844,1.2945982750794372e-08
8000,2.56,2.6350860595703125,1.2492056286881526e-08
8050,2.576,2.627813415527344,1.203812982296868e-08
8100,2.592,2.6589215087890623,1.1584203359055834e-08
8150,2.608,2.6450595092773437,1.1130276895142987e-08
8200,2.624,2.5998651123046876,1.0676350431230141e-08
8250,2.64,2.654754638671875,1.0222423967317297e-08
8300,2.656,2.637004089355469,9.768497503404449e-09
8350,2.672,2.66695068359375,9.314571039491602e-09
8400,2.6879999999999997,2.6692050170898436,8.860644575578756e-09
8450,2.7039999999999997,2.6440911865234376,8.40671811166591e-09
8500,2.7199999999999998,2.610557861328125,7.952791647753064e-09
8550,2.7359999999999998,2.597471923828125,7.498865183840218e-09
8600,2.752,2.6379644775390627,7.0449387199273714e-09
8650,2.768,2.62744140625,6.591012256014526e-09
8700,2.784,2.6989593505859375,6.13708579210168e-09
8750,2.8,2.6606564331054687,5.683159328188834e-09
8800,2.816,2.6684915161132814,5.229232864275988e-09
8850,2.832,2.624911193847656,4.775306400363141e-09
8900,2.848,2.6626483154296876,4.321379936450295e-09
8950,2.864,2.6492584228515623,3.867453472537449e-09
9000,2.88,2.635731201171875,3.413527008624603e-09
